iter	RMSE
0	0.34525754
1	0.3350277906
2	0.324875506
3	0.3152134179
4	0.3057316642
5	0.2974356295
6	0.2894840359
77	0.28167485818	0.2751639597
99	0.2683801541110	0.2619767022111	0.2562077863112	0.2508853547
13	0.2457752569
1414	0.2426389241515	0.2381657016	16	0.2337863517	17	0.2294738718	18	0.2253239119	19	0.2219834220	20	0.2184941621	21	0.215128022	022	0.211928823	023	0.209309924	24	0.2067302225	25	0.2038757026	26	0.2013220227	27	0.19887031228	0.1966954529
29	0.1946047577
30	0.1928296928
31	0.1911258092
32	0.1894864506
33	0.1877356899
34	0.1863892388
35	0.1849080626
36	0.1836992563
37	0.1824361398
38	0.1812603074
39	0.1802548346
40	0.1791185559
41	0.177851903
42	0.1769950284
43	0.1760188379
44	0.1749722674
45	0.1738615906
46	0.1732076451
47	0.1725427117
48	0.1719137534
49	0.1711051876
50	0.1704664614
51	0.1694971269
52	0.1688517936
53	0.1681617614
54	0.1675061623
55	0.1668010047
56	0.166273876
57	0.1654929591
58	0.1650333957
59	0.1645367321
60	0.1640423421
61	0.1634172794
62	0.1628476372
63	0.1622158482
64	0.1618300228
65	0.1614728566
66	0.1611640599
67	0.1606462921
68	0.1601928041
69	0.1597948286
70	0.159377452
71	0.1587918115
72	0.1584812455
73	0.1581626664
74	0.157766945
75	0.1574004016
76	0.1569916377
77	0.1566948867
78	0.1563083876
79	0.1560415701
80	0.1554536021
81	0.1550311075
82	0.1547264343
83	0.1544729014
84	0.1539857129
85	0.153692291
86	0.153502252
87	0.1532576146
88	0.1527512525
89	0.1524350119
90	0.1521370259
91	0.1518367713
92	0.1516730055
93	0.1512207813
94	0.1507767225
95	0.1505694052
96	0.1502677866
97	0.1499668116
98	0.1494992314
99	0.1491845168
100	0.148993939
101	0.1487515034
102	0.1483605884
103	0.1480291917
104	0.147670206
105	0.1474250346
106	0.1471627084
107	0.1469859209
108	0.1467497421
109	0.1464412495
110	0.1462057846
111	0.1459649459
112	0.1455953048
113	0.1452369281
114	0.1450025753
115	0.1447904341
116	0.1446104384
117	0.1443945427
118	0.1442288362
119	0.1440029746
120	0.1437852944
121	0.1436257054
122	0.1434857578
123	0.1432757717
124	0.1431063903
125	0.1429495756
126	0.142724535
127	0.1425806141
128	0.1423377149
129	0.1421660879
130	0.1418937752
131	0.1417850089
132	0.1415617286
133	0.1414581217
134	0.1412991701
135	0.1410596146
136	0.140869624
137	0.1406464931
138	0.1405095486
139	0.1404062899
140	0.140260913
141	0.1400324956
142	0.1398811096
143	0.1397401199
144	0.1396176829
145	0.13950334
146	0.1393539879
147	0.1391943472
148	0.1389462858
149	0.1386358629
150	0.1385487915
151	0.1384078072
152	0.1381972145
153	0.1380434439
154	0.1378728825
155	0.13770156	0156	0.137584157	0157	0.137438158	0158	0.137277159	0.1382464826
160	0.1381283538
161	0.1379254237
162	0.1377851502
163	0.1376326112
164	0.1375074936
165	0.1373729153
166	0.1372581102
167	0.1371325175
168	0.1369753712
169	0.1368279771
170	0.1366126212
171	0.1364579184
172	0.1363168328
173	0.1361320448
174	0.1359801555
175	0.1358917926
176	0.1356637129
177	0.1355999433
