iter	Passed	Remaining
0	163	13078311	230	9198822	287	7631333	357	71154	4	431	68625	5	504	66746	6	560	63477	621	61569
8	8	677	59539	754	59633
10	816	58594
11	894	58707
12	979	59289
13	1038	58279
114	1093	57201115	1169	57296116	1250	57616117	1328	57694118	1403	57690119	1475	57531220	1547	57407221	1618	57231222	1696	57328223	1772	57300224	1850	57350225	1916	57054226	1999	57231227	2071	57118228	2153	57254
29	2236	57398
30	2305	57184
31	2375	57017
32	2446	56851
33	2513	56631
34	2597	56771
35	2678	56843
36	2740	56504
37	2798	56122
38	2868	55976
39	2927	55617
40	3001	55570
41	3066	55349
42	3145	55372
43	3226	55429
44	3302	55413
45	3367	55202
46	3440	55116
47	3504	54900
48	3575	54799
49	3648	54732
50	3730	54788
51	3807	54764
52	3882	54722
53	3949	54554
54	4024	54509
55	4099	54459
56	4170	54356
57	4252	54406
58	4329	54377
59	4402	54293
60	4478	54261
61	4546	54122
62	4612	53959
63	4704	54103
64	4765	53884
65	4844	53880
66	4920	53829
67	4993	53749
68	5063	53641
69	5126	53466
70	5199	53389
71	5283	53417
72	5362	53403
73	5416	53143
74	5502	53194
75	5581	53175
76	5641	52968
77	5703	52797
78	5772	52685
79	5843	52589
80	5909	52454
81	5959	52179
82	6014	51955
83	6053	51601
84	6105	51354
85	6154	51097
86	6209	50889
87	6271	50742
88	6325	50536
89	6402	50509
90	6464	50368
91	6530	50258
92	6606	50224
93	6675	50136
94	6728	49934
95	6800	49873
96	6857	49700
97	6914	49528
98	6967	49334
99	7023	49164
100	7077	48983
101	7132	48808
102	7195	48692
103	7264	48616
104	7314	48413
105	7366	48231
106	7418	48047
107	7482	47944
108	7551	47873
109	7612	47748
110	7690	47737
111	7764	47695
112	7826	47584
113	7886	47460
114	7940	47297
115	8007	47216
116	8063	47069
117	8134	47016
118	8194	46895
119	8261	46815
120	8317	46674
121	8380	46571
122	8440	46454
123	8496	46317
124	8554	46196
125	8608	46047
126	8665	45918
127	8723	45800
128	8791	45729
129	8845	45586
130	8906	45483
131	8959	45342
132	9019	45235
133	9078	45121
134	9134	44995
135	9201	44925
136	9257	44798
137	9324	44731
138	9381	44614
139	9436	44487
140	9504	44421
141	9562	44312
142	9624	44220
143	9699	44187
144	9770	44135
145	9826	44016
146	9882	43901
147	9936	43774
148	9997	43679
149	10058	43586
150	10118	43490
151	10183	43415
152	10234	43279
153	10284	43143
154	10337	43016
155	10389	428156156	10453	428157157	10515	427158158	10571	426159	10646	42586
160	10713	42520
161	10783	42467
162	10844	42380
163	10919	42345
164	11034	42464
165	11112	42443
166	11185	42398
167	11274	42413
168	11330	42303
169	11403	42258
170	11474	42207
171	11544	42151
172	11613	42091
173	11691	42060
174	11740	41929
175	11779	41764
176	11817	41594
177	11853	41420
178	11891	41254
179	11925	41076
180	11963	40912
181	11997	40739
182	12035	40578
183	12073	40418
184	12102	40233
185	12142	40083
186	12180	39927
187	12218	39773
188	12253	39612
189	12283	394361190	12319	39280191	12354	39121
192	12406	39018
193	12450	38893
194	12506	38801
195	12555	38691
196	12598	38562
197	12655	38479
198	12710	38385
199	12754	38263
200	12804	38160
201	12851	38046
202	12910	37969
203	12965	37880
204	13010	37762
205	13068	37683
206	13117	37578
207	13165	37471
208	13210	37354
209	13264	37265
210	13326	37199
211	13374	37096
212	13422	36989
213	13464	36870
214	13510	36762
215	13551	36639
216	13587	36505
217	13624	36373
218	13662	36246
219	13696	36109
220	13739	35997
221	13772	35859
222	13809	35731
223	13847	35606
224	13887	35490
225	13925	35369
226	13968	35259
227	14006	35140
228	14058	35055
229	14093	34927
230	14138	34825
231	14174	34702
232	14214	34590
233	14251	34472
234	14291	34360
235	14330	34247
236	14371	34140
237	14413	34034
238	14455	33930
239	14491	33813
240	14528	33699
241	14572	33601
242	14609	33487
243	14652	33387
244	14688	33273
245	14726	33163
246	14768	33063
247	14811	32966
248	14854	32870
249	14892	32763
250	14952	32705
251	14995	32609
252	15034	32504
253	15074	32403
254	15115	32306
255	15155	32205
256	15192	32098
257	15227	31989
258	15270	31896
259	15308	31795
260	15355	31711
261	15395	31613
262	15432	31511
263	15474	31417
264	15517	31327
265	15560	31238
266	15596	31134
267	15637	31041
268	15679	30950
269	15718	30854
270	15757	30758
271	15797	30664
272	15833	30564
273	15876	30479
274	15916	30386
275	15950	30283
276	15992	30195
277	16032	30105
278	16072	30013
279	16111	29921
280	16152	29833
281	16192	29742
282	16235	29659
283	16272	29564
284	16309	29472
285	16355	29394
286	16395	29305
287	16435	29218
288	16478	29136
289	16525	29062
290	16563	28971
291	16601	28881
292	16640	28794
293	16677	28703
294	16717	28617
295	16753	28526
296	16790	28436
297	16826	28344
298	16868	28265
299	16905	28175
300	16941	28085
301	16981	28002
302	17021	27918
303	17062	27839
304	17099	27751
305	17141	27673
306	17181	27591
307	17221	27509
308	17260	27426
309	17299	27343
310	17337	27260
311	17377	27179
312	17417	27100
313	17458	27022
314	17500	26945
315	17540	26865
316	17580	26786
317	17620	26708
318	17660	26628
319	17698	26547
320	17739	26470
321	17779	26393
322	17819	26315
323	17860	26239
324	17901	26163
325	17939	26083
326	17977	26004
327	18019	25931
328	18056	25850
329	18102	25782
330	18137	25699
331	18175	25621
332	18212	25541
333	18249	25462
334	18294	25393
335	18330	25313
336	18370	25238
337	18415	25171
338	18453	25094
339	18490	25016
340	18529	24941
341	18567	24865
342	18608	24792
343	18646	24717
344	18687	24646
345	18725	24570
346	18766	24498
347	18807	24427
348	18848	24356
349	18886	24283
350	18926	24210
351	18964	24136
352	19011	24074
353	19046	23996
354	19080	23918
355	19117	23842
356	19156	23771
357	19200	23705
358	19238	23633
359	19279	23563
360	19319	23494
361	19359	23423
362	19396	23350
363	19433	23277
364	19472	23206
365	19512	23138
366	19553	23069
367	19591	22998
368	19641	22941
369	19681	22873
370	19721	22804
371	19759	22733
372	19797	22663
373	19837	22595
374	19875	22525
375	19919	22462
376	19957	22392
377	19997	22324
378	20036	22257
379	20072	22185
380	20109	22115
381	20150	22049
382	20188	21980
383	20228	21913
384	20274	21854
385	20314	21787
386	20352	21719
387	20392	21653
388	20429	21585
389	20472	21522
390	20513	21457
391	20547	21385
392	20586	21320
393	20625	21254
394	20662	21185
395	20702	21120
396	20740	21053
397	20776	20985
398	20814	20918
399	20856	20856
400	20894	20790
401	20936	20728
402	20978	20665
403	21023	20607
404	21061	20541
405	21100	20477
406	21134	20407
407	21173	20343
408	21207	20274
409	21245	20208
410	21281	20142
411	21320	20078
